iter	Passed	Remaining
0	1	143
1	3	149
2	4	143
3	5	135
4	7	135
5	8	137
6	10	139
7	11	134
8	12	128
9	13	124
10	14	120
11	15	117
12	17	115
13	18	111
14	19	110
15	20	108
16	21	105
17	22	102
18	23	101
19	24	99
20	26	97
21	27	96
22	28	93
23	29	91
24	30	90
25	30	88
26	31	86
27	32	84
28	33	82
29	34	80
30	35	79
31	36	77
32	37	76
33	38	75
34	40	74
35	41	73
36	42	71
37	43	70
38	44	68
39	44	67
40	46	66
41	46	64
42	47	62
43	48	61
44	49	60
45	50	58
46	51	57
47	52	56
48	53	55
49	54	54
50	55	53
51	57	52
52	58	51
53	59	50
54	59	49
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	41
61	66	40
62	67	39
63	68	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	76	31
71	77	30
72	78	28
73	79	27
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	95	10
90	96	9
91	97	8
92	98	7
93	99	6
94	100	5
95	101	4
96	102	3
97	103	2
98	104	1
99	105	0
