iter	Passed	Remaining
0	127	127651
1	129	64402
2	130	43220
3	131	32665
4	132	26296
5	133	22057
6	134	19049
7	135	16774
8	136	15014
9	137	13590
10	138	12443
11	139	11504
12	140	10683
13	141	9995
14	143	9394
15	143	8848
16	144	8376
17	145	7956
18	146	7580
19	147	7239
20	148	6934
21	149	6655
22	151	6416
23	152	6196
24	153	5986
25	154	5796
26	155	5615
27	157	5454
28	158	5297
29	159	5141
30	159	4996
31	160	4865
32	161	4740
33	162	4622
34	163	4512
35	164	4405
36	165	4306
37	166	4211
38	167	4125
39	168	4042
40	169	3960
41	170	3886
42	171	3813
43	172	3743
44	173	3674
45	173	3606
46	174	3543
47	175	3483
48	176	3425
49	177	3371
50	178	3320
51	179	3270
52	180	3224
53	181	3180
54	182	3136
55	183	3093
56	184	3049
57	185	3010
58	186	2971
59	187	2931
60	188	2895
61	188	2857
62	189	2823
63	190	2787
64	191	2754
65	192	2719
66	193	2689
67	193	2657
68	194	2626
69	195	2598
70	196	2572
71	197	2547
72	198	2519
73	199	2495
74	200	2470
75	201	2444
76	201	2419
77	202	2394
78	203	2373
79	204	2350
80	205	2328
81	206	2307
82	206	2283
83	207	2264
84	208	2245
85	209	2226
86	210	2208
87	211	2191
88	212	2175
89	213	2158
90	214	2142
91	215	2125
92	216	2110
93	217	2095
94	218	2080
95	219	2065
96	220	2049
97	221	2034
98	221	2018
99	222	2005
100	223	1991
101	224	1978
102	225	1967
103	226	1955
104	227	1941
105	228	1928
106	229	1915
107	230	1903
108	231	1890
109	232	1878
110	233	1866
111	233	1855
112	234	1842
113	235	1832
114	236	1819
115	237	1808
116	237	1795
117	238	1785
118	240	1776
119	241	1768
120	242	1758
121	242	1747
122	243	1737
123	244	1728
124	245	1718
125	246	1708
126	247	1697
127	247	1689
128	248	1680
129	249	1671
130	250	1661
131	251	1652
132	252	1643
133	253	1635
134	253	1626
135	254	1619
136	255	1612
137	256	1604
138	257	1596
139	258	1588
140	259	1580
141	259	1570
142	260	1563
143	261	1555
144	262	1547
145	263	1540
146	264	1532
147	264	1525
148	265	1518
149	266	1511
150	267	1504
151	268	1497
152	269	1492
153	270	1486
154	271	1480
155	272	1474
156	273	1468
157	274	1461
158	275	1455
159	276	1449
160	276	1441
161	277	1435
162	278	1429
163	279	1423
164	280	1417
165	280	1411
166	281	1405
167	282	1400
168	283	1394
169	284	1388
170	285	1385
171	286	1381
172	287	1375
173	288	1369
174	289	1364
175	290	1358
176	291	1353
177	291	1348
178	292	1343
179	293	1338
180	294	1334
181	295	1328
182	296	1323
183	297	1319
184	298	1314
185	299	1310
186	300	1305
187	301	1301
188	302	1296
189	303	1292
190	304	1288
191	305	1284
192	306	1280
193	307	1276
194	308	1271
195	308	1266
196	309	1262
197	310	1258
198	311	1254
199	312	1250
200	313	1246
201	314	1242
202	315	1239
203	316	1235
204	317	1231
205	318	1227
206	319	1222
207	319	1218
208	320	1214
209	321	1210
210	322	1206
211	323	1202
212	324	1198
213	325	1194
214	326	1190
215	326	1186
216	327	1182
217	328	1178
218	329	1175
219	330	1171
220	331	1167
221	332	1164
222	332	1160
223	333	1156
224	334	1152
225	335	1148
226	336	1145
227	337	1141
228	338	1138
229	338	1134
230	339	1131
231	340	1128
232	341	1125
233	343	1123
234	344	1120
235	345	1118
236	346	1114
237	347	1111
238	348	1108
239	349	1105
240	350	1102
241	351	1099
242	351	1096
243	352	1093
244	353	1090
245	354	1087
246	355	1083
247	356	1080
248	357	1078
249	358	1076
250	359	1073
251	361	1071
252	362	1068
253	363	1066
254	364	1063
255	364	1060
256	365	1058
257	366	1055
258	368	1052
259	368	1050
260	369	1047
261	371	1045
262	371	1042
263	372	1039
264	373	1037
265	375	1034
266	376	1032
267	377	1030
268	378	1027
269	379	1024
270	379	1022
271	380	1019
272	381	1016
273	382	1014
274	383	1011
275	384	1009
276	385	1007
277	386	1004
278	388	1002
279	389	1000
280	390	998
281	391	996
282	392	994
283	393	992
284	394	990
285	396	988
286	397	987
287	398	984
288	399	982
289	400	980
290	401	977
291	402	975
292	403	973
293	404	971
294	405	969
295	406	966
296	407	964
297	408	962
298	409	960
299	410	957
300	411	955
301	412	952
302	413	950
303	414	948
304	415	945
305	415	943
306	416	941
307	418	939
308	419	937
309	420	935
310	421	932
311	422	930
312	422	928
313	423	925
314	424	923
315	425	921
316	426	918
317	427	916
318	428	914
319	429	912
320	430	909
321	431	907
322	432	906
323	433	905
324	435	903
325	436	901
326	437	899
327	438	897
328	439	895
329	440	893
330	441	891
331	441	889
332	442	887
333	443	885
334	444	883
335	445	881
336	447	879
337	448	877
338	449	875
339	450	873
340	451	871
341	451	869
342	452	867
343	453	865
344	454	862
345	455	860
346	456	858
347	456	855
348	457	853
349	458	851
350	459	849
351	460	847
352	461	845
353	462	844
354	463	842
355	464	840
356	465	838
357	466	836
358	467	834
359	468	832
360	469	830
361	469	828
362	470	825
363	471	823
364	472	821
365	473	820
366	474	818
367	475	816
368	476	815
369	477	813
370	478	811
371	479	809
372	480	808
373	481	806
374	482	804
375	483	803
376	484	801
377	485	799
378	486	797
379	487	795
380	488	794
381	489	792
382	490	790
383	491	789
384	493	787
385	494	786
386	495	784
387	496	782
388	497	781
389	498	779
390	499	777
391	500	775
392	501	774
393	502	772
394	502	770
395	503	768
396	505	767
397	506	765
398	507	763
399	508	762
400	509	760
401	510	758
402	510	756
403	512	755
404	513	754
405	514	753
406	515	751
407	517	750
408	517	748
409	518	746
410	519	745
411	521	744
412	522	742
413	523	741
414	524	739
415	525	738
416	526	736
417	527	735
418	528	733
419	529	731
420	530	729
421	531	727
422	532	726
423	533	724
424	534	722
425	535	721
426	536	719
427	537	718
428	538	716
429	539	714
430	540	713
431	541	711
432	542	710
433	543	708
434	544	706
435	544	704
436	546	703
437	546	701
438	548	700
439	549	698
440	550	697
441	551	695
442	552	694
443	553	692
444	554	690
445	555	689
446	556	687
447	557	686
448	558	684
449	558	683
450	559	681
451	560	679
452	561	677
453	561	675
454	562	673
455	563	672
456	564	670
457	565	669
458	566	668
459	567	666
460	568	664
461	569	663
462	570	661
463	571	660
464	572	658
465	573	657
466	574	655
467	575	653
468	575	652
469	576	650
470	577	648
471	578	646
472	579	645
473	580	644
474	581	642
475	582	640
476	583	639
477	583	637
478	584	635
479	585	634
480	586	632
481	587	630
482	587	629
483	588	627
484	589	626
485	590	624
486	591	623
487	592	621
488	593	619
489	594	618
490	596	618
491	597	617
492	598	615
493	599	614
494	600	612
495	601	611
496	602	609
497	603	607
498	603	606
499	604	604
500	605	603
501	606	601
502	607	599
503	608	598
504	608	596
505	610	595
506	611	594
507	612	592
508	612	591
509	613	589
510	614	588
511	615	586
512	616	585
513	617	583
514	618	582
515	619	580
516	620	579
517	620	577
518	621	576
519	622	574
520	623	573
521	624	571
522	625	570
523	626	568
524	627	567
525	628	566
526	629	564
527	630	563
528	631	562
529	632	560
530	633	559
531	633	557
532	634	556
533	635	554
534	636	553
535	637	551
536	638	550
537	639	548
538	640	547
539	641	546
540	642	544
541	643	543
542	644	542
543	644	540
544	645	539
545	646	537
546	647	536
547	648	534
548	649	533
549	650	532
550	651	530
551	652	529
552	653	527
553	653	526
554	654	525
555	655	523
556	656	522
557	657	520
558	658	519
559	659	518
560	660	516
561	661	515
562	662	514
563	663	513
564	664	511
565	665	510
566	666	509
567	667	507
568	668	506
569	669	504
570	670	503
571	671	502
572	672	500
573	673	499
574	674	498
575	674	496
576	675	495
577	676	494
578	677	492
579	678	491
580	679	489
581	680	488
582	681	487
583	681	485
584	682	484
585	683	483
586	684	481
587	685	480
588	686	479
589	687	477
590	688	476
591	689	474
592	689	473
593	690	472
594	691	470
595	692	469
596	693	467
597	694	466
598	694	465
599	695	463
600	696	462
601	697	460
602	698	459
603	698	458
604	700	457
605	700	455
606	701	454
607	702	452
608	703	451
609	704	450
610	704	448
611	705	447
612	706	445
613	707	444
614	708	443
615	708	441
616	709	440
617	710	439
618	711	437
619	712	436
620	713	435
621	714	434
622	715	432
623	716	431
624	717	430
625	717	428
626	718	427
627	719	426
628	720	424
629	721	423
630	721	422
631	722	420
632	723	419
633	724	418
634	725	416
635	725	415
636	726	414
637	727	412
638	728	411
639	729	410
640	730	409
641	731	407
642	732	406
643	733	405
644	734	404
645	735	402
646	735	401
647	736	400
648	737	398
649	738	397
650	738	396
651	739	394
652	740	393
653	741	392
654	742	390
655	743	389
656	744	388
657	744	387
658	746	386
659	746	384
660	747	383
661	748	382
662	749	380
663	749	379
664	750	378
665	751	376
666	752	375
667	753	374
668	753	373
669	754	371
670	755	370
671	756	369
672	757	367
673	757	366
674	758	365
675	759	364
676	760	362
677	761	361
678	762	360
679	763	359
680	764	357
681	765	356
682	766	355
683	767	354
684	768	353
685	768	351
686	769	350
687	770	349
688	771	348
689	772	346
690	772	345
691	773	344
692	774	343
693	775	342
694	776	340
695	777	339
696	778	338
697	779	337
698	779	335
699	780	334
700	781	333
701	782	332
702	783	330
703	784	329
704	784	328
705	785	327
706	786	325
707	786	324
708	787	323
709	788	322
710	789	320
711	790	319
712	791	318
713	792	317
714	793	316
715	794	314
716	794	313
717	795	312
718	796	311
719	797	310
720	797	308
721	798	307
722	799	306
723	800	305
724	800	303
725	801	302
726	802	301
727	803	300
728	804	299
729	805	298
730	806	296
731	807	295
732	808	294
733	808	293
734	809	291
735	810	290
736	811	289
737	812	288
738	813	287
739	814	286
740	814	284
741	815	283
742	816	282
743	817	281
744	817	279
745	818	278
746	820	277
747	820	276
748	821	275
749	822	274
750	823	273
751	824	271
752	824	270
753	825	269
754	826	268
755	827	267
756	828	265
757	828	264
758	829	263
759	830	262
760	831	261
761	832	260
762	833	258
763	834	257
764	835	256
765	836	255
766	837	254
767	838	253
768	839	252
769	840	251
770	841	249
771	842	248
772	842	247
773	843	246
774	844	245
775	845	244
776	846	242
777	847	241
778	847	240
779	848	239
780	850	238
781	851	237
782	851	236
783	852	234
784	853	233
785	854	232
786	855	231
787	857	230
788	858	229
789	859	228
790	859	227
791	861	226
792	861	224
793	862	223
794	863	222
795	864	221
796	865	220
797	866	219
798	867	218
799	868	217
800	869	216
801	870	214
802	871	213
803	872	212
804	872	211
805	873	210
806	874	209
807	875	207
808	876	206
809	876	205
810	877	204
811	879	203
812	880	202
813	881	201
814	882	200
815	883	199
816	884	198
817	885	196
818	885	195
819	886	194
820	887	193
821	888	192
822	889	191
823	890	190
824	891	189
825	892	187
826	893	186
827	895	185
828	896	184
829	897	183
830	898	182
831	899	181
832	899	180
833	900	179
834	901	178
835	902	177
836	903	175
837	903	174
838	904	173
839	905	172
840	906	171
841	907	170
842	908	169
843	909	168
844	910	166
845	910	165
846	911	164
847	912	163
848	913	162
849	914	161
850	914	160
851	915	159
852	916	157
853	917	156
854	918	155
855	919	154
856	919	153
857	920	152
858	921	151
859	922	150
860	922	149
861	924	147
862	925	146
863	925	145
864	926	144
865	927	143
866	928	142
867	929	141
868	930	140
869	930	139
870	931	137
871	932	136
872	933	135
873	934	134
874	934	133
875	935	132
876	936	131
877	937	130
878	938	129
879	939	128
880	940	127
881	941	125
882	942	124
883	942	123
884	943	122
885	944	121
886	945	120
887	947	119
888	948	118
889	949	117
890	949	116
891	950	115
892	951	114
893	952	112
894	953	111
895	954	110
896	955	109
897	956	108
898	957	107
899	958	106
900	958	105
901	959	104
902	960	103
903	961	102
904	962	100
905	962	99
906	963	98
907	964	97
908	965	96
909	965	95
910	966	94
911	967	93
912	968	92
913	969	91
914	970	90
915	972	89
916	973	88
917	973	86
918	974	85
919	975	84
920	976	83
921	976	82
922	977	81
923	978	80
924	979	79
925	980	78
926	980	77
927	981	76
928	982	75
929	983	74
930	984	72
931	985	71
932	986	70
933	987	69
934	988	68
935	988	67
936	989	66
937	990	65
938	991	64
939	991	63
940	992	62
941	993	61
942	994	60
943	994	59
944	995	57
945	997	56
946	998	55
947	999	54
948	1000	53
949	1001	52
950	1002	51
951	1003	50
952	1004	49
953	1005	48
954	1006	47
955	1007	46
956	1008	45
957	1009	44
958	1010	43
959	1011	42
960	1012	41
961	1013	40
962	1014	38
963	1015	37
964	1016	36
965	1017	35
966	1018	34
967	1019	33
968	1020	32
969	1021	31
970	1022	30
971	1023	29
972	1024	28
973	1025	27
974	1026	26
975	1028	25
976	1029	24
977	1030	23
978	1031	22
979	1032	21
980	1033	20
981	1034	18
982	1035	17
983	1036	16
984	1037	15
985	1038	14
986	1039	13
987	1040	12
988	1041	11
989	1042	10
990	1043	9
991	1044	8
992	1045	7
993	1046	6
994	1047	5
995	1048	4
996	1049	3
997	1050	2
998	1051	1
999	1052	0
